1.05    -0.05   0.0058
1.05    0   0.0073
1.05    0.05    0.0048
1.05    0.1 0.0014
1.1 -0.25   0.0572
1.1 -0.2    0.0017
1.1 -0.1    0.0011
1.1 -0.05   0.0023
1.1 0   0.0023
1.1 0.05    0.0014
1.15    -0.1    0.2466
1.15    -0.05   0.0094
1.15    0   0.0044
1.15    0.05    0.0016
1.2 -0.05   0.0076
1.2 0   0.0777
1.2 0.05    0.182
1.2 0.1 0.0055
1.25    0.2 0.0193
1.25    0.25    0.0208
1.3 0.45    0.0029
1.3 0.5 0.0463
1.3 0.55    0.0245
1.3 0.6 0.0085
1.3 0.65    0.0011
1.35    0.85    0.0015
1.35    0.9 0.0024
1.35    0.95    0.0061
1.35    1   0.0017
1.35    1.25    0.0011
1.4 -1.4    0.0018
1.4 -1.35   0.0027
1.4 -1.3    0.0028
1.4 -1.25   0.0015
1.4 -0.05   0.001
1.4 0   0.0013
1.4 1.15    0.001
1.4 1.2 0.0348
1.4 1.25    0.1633
1.4 1.3 0.626
1.4 1.35    0.0777
1.4 1.4 0.003
1.45    -1.4    0.0014
1.45    -1.35   0.0082
1.45    -1.3    0.0313
1.45    -1.25   0.044
1.45    -1.2    0.0341
1.45    -1.15   0.0017
1.45    -1.1    0.0033
1.45    -1.05   0.0023
1.45    -0.05   0.0014
1.45    0   0.0017
1.45    0.05    0.0011
1.45    1.25    0.0024
1.45    1.3 0.0032
1.45    1.35    0.0025
1.45    1.4 0.0011
1.45    1.55    0.0049
1.5 -1.4    0.0012
1.5 -1.35   0.0034
1.5 -1.3    0.0017
1.5 -1.25   0.0011
1.5 -0.8    0.0021
1.5 -0.75   0.0152
1.5 -0.7    0.0013
1.5 -0.05   0.0014
1.5 0   0.0016
1.55    -0.45   0.0023
1.55    -0.4    0.0037
1.55    -0.3    0.0011
1.55    -0.05   0.0013
1.55    0   0.0012
1.6 -1.35   0.0022
1.6 -1.3    0.0058
1.6 -1.25   0.0061
1.6 -1.2    0.0027
1.6 -0.1    0.0037
1.6 -0.05   0.0188
1.6 0   0.1424
